source,state_name,school_year,year,any_rate,medical_rate,non_medical_rate,population_size,any_n,medical_n,non_medical_n
school_vax_view,Alabama,2019-20,2019,1.2,0.1,1.1,59477,713,63,650
school_vax_view,Alabama,2020-21,2020,1.3,0.1,1.1,56974,719,66,653
school_vax_view,Alabama,2021-22,2021,1.7,0.2,1.5,60332,1005,93,912
school_vax_view,Alabama,2022-23,2022,2.0,0.1,1.9,59113,1180,79,1101
school_vax_view,Alabama,2023-24,2023,2.2,0.1,2.1,54565,1188,44,1144
school_vax_view,Alabama,2024-25,2024,2.3,0.1,2.2,53589,1214,44,1169
school_vax_view,Alaska,2019-20,2019,5.9,0.5,5.4,10381,608,51,557
school_vax_view,Alaska,2020-21,2020,4.0,0.2,3.8,9461,375,21,354
school_vax_view,Alaska,2021-22,2021,4.6,0.5,4.1,9790,446,45,401
school_vax_view,Alaska,2022-23,2022,5.7,0.7,5.0,9650,550,72,478
school_vax_view,Alaska,2023-24,2023,9.5,0.3,9.2,8644,821,27,794
school_vax_view,Alaska,2024-25,2024,9.4,0.4,9.0,7338,686,26,660
school_vax_view,Arizona,2019-20,2019,5.5,0.2,5.4,83976,4638,144,4494
school_vax_view,Arizona,2020-21,2020,5.5,0.1,5.4,76382,4211,72,4139
school_vax_view,Arizona,2021-22,2021,6.8,0.4,6.5,83463,5707,302,5405
school_vax_view,Arizona,2022-23,2022,7.4,0.1,7.4,80814,6009,64,5944
school_vax_view,Arizona,2023-24,2023,8.5,0.4,8.1,74834,6383,305,6078
school_vax_view,Arizona,2024-25,2024,9.1,0.1,9.0,75024,6852,68,6784
school_vax_view,Arkansas,2019-20,2019,1.9,0.1,1.9,39510,769,15,753
school_vax_view,Arkansas,2020-21,2020,2.0,0.1,1.9,37540,735,14,721
school_vax_view,Arkansas,2021-22,2021,2.5,0.0,2.5,39358,1000,12,988
school_vax_view,Arkansas,2022-23,2022,3.1,0.1,3.0,38358,1182,23,1159
school_vax_view,Arkansas,2023-24,2023,3.5,0.1,3.4,37535,1299,10,1289
school_vax_view,Arkansas,2024-25,2024,3.6,0.1,3.5,37570,1337,13,1324
school_vax_view,California,2019-20,2019,0.8,0.8,,566155,4249,4249,
school_vax_view,California,2020-21,2020,0.5,0.5,,498214,2391,2391,
school_vax_view,California,2021-22,2021,0.2,0.3,,512144,948,1383,
school_vax_view,California,2022-23,2022,0.2,0.2,,541132,1036,1036,
school_vax_view,California,2023-24,2023,0.1,0.1,,569680,648,648,
school_vax_view,California,2024-25,2024,0.1,0.1,,590849,492,492,
school_vax_view,Colorado,2019-20,2019,4.9,0.2,4.7,69088,3376,121,3254
school_vax_view,Colorado,2020-21,2020,4.2,0.2,4.0,63619,2643,98,2545
school_vax_view,Colorado,2021-22,2021,3.2,0.1,3.0,66900,2123,87,2036
school_vax_view,Colorado,2022-23,2022,4.3,0.3,4.0,65576,2818,197,2621
school_vax_view,Colorado,2023-24,2023,4.2,0.2,4.0,61662,2584,105,2479
school_vax_view,Colorado,2024-25,2024,4.2,0.2,4.1,60055,2545,92,2453
school_vax_view,Connecticut,2019-20,2019,2.5,0.2,2.3,38888,975,84,891
school_vax_view,Connecticut,2020-21,2020,2.6,0.2,2.3,34396,886,83,803
school_vax_view,Connecticut,2021-22,2021,2.3,0.3,2.1,35451,829,102,727
school_vax_view,Connecticut,2022-23,2022,0.8,0.3,0.5,35580,297,112,185
school_vax_view,Connecticut,2023-24,2023,0.5,0.4,0.1,36184,179,128,51
school_vax_view,Connecticut,2024-25,2024,0.4,0.4,0.1,30112,126,120,6
school_vax_view,Delaware,2019-20,2019,,,,,,,
school_vax_view,Delaware,2020-21,2020,2.4,0.1,2.4,10587,256,4,253
school_vax_view,Delaware,2021-22,2021,1.2,0.1,1.2,11181,143,9,134
school_vax_view,Delaware,2022-23,2022,2.1,0.1,2.0,10674,250,15,235
school_vax_view,Delaware,2023-24,2023,2.5,0.1,2.4,11043,274,8,267
school_vax_view,Delaware,2024-25,2024,2.6,0.1,2.6,10393,275,1,273
school_vax_view,District of Columbia,2019-20,2019,,,,,,,
school_vax_view,District of Columbia,2020-21,2020,0.3,,0.3,8262,25,,25
school_vax_view,District of Columbia,2021-22,2021,0.5,0.0,0.5,8959,46,4,42
school_vax_view,District of Columbia,2022-23,2022,1.3,0.3,0.9,8064,101,27,74
school_vax_view,District of Columbia,2023-24,2023,2.3,0.2,2.1,7874,181,15,166
school_vax_view,District of Columbia,2024-25,2024,2.7,0.3,2.5,7997,217,20,197
school_vax_view,Florida,2019-20,2019,3.4,0.4,3.0,228298,7758,855,6903
school_vax_view,Florida,2020-21,2020,3.1,0.4,2.7,207026,6425,790,5635
school_vax_view,Florida,2021-22,2021,3.9,0.4,3.5,229432,8944,860,8084
school_vax_view,Florida,2022-23,2022,4.5,0.4,4.1,230309,10326,832,9495
school_vax_view,Florida,2023-24,2023,4.8,0.3,4.5,228213,11031,729,10302
school_vax_view,Florida,2024-25,2024,5.1,0.3,4.8,221053,11287,731,10556
school_vax_view,Georgia,2019-20,2019,3.0,0.1,2.9,130102,3899,158,3741
school_vax_view,Georgia,2020-21,2020,2.9,0.1,2.8,83191,2419,61,2358
school_vax_view,Georgia,2021-22,2021,4.7,0.2,4.5,118742,5582,204,5378
school_vax_view,Georgia,2022-23,2022,3.8,0.1,3.7,123771,4683,147,4536
school_vax_view,Georgia,2023-24,2023,3.6,0.1,3.5,136943,4954,128,4826
school_vax_view,Georgia,2024-25,2024,4.8,0.1,4.7,114568,5535,94,5441
school_vax_view,Hawaii,2019-20,2019,6.1,0.2,5.9,15695,943,29,913
school_vax_view,Hawaii,2020-21,2020,3.7,0.2,3.5,13074,484,27,457
school_vax_view,Hawaii,2021-22,2021,3.4,0.1,3.3,13368,449,7,442
school_vax_view,Hawaii,2022-23,2022,6.4,0.6,5.8,13195,846,78,768
school_vax_view,Hawaii,2023-24,2023,5.3,0.1,5.3,13995,745,0,745
school_vax_view,Hawaii,2024-25,2024,5.5,0.2,5.4,13804,765,21,744
school_vax_view,Idaho,2019-20,2019,7.6,0.3,7.2,23301,1764,75,1689
school_vax_view,Idaho,2020-21,2020,8.2,0.3,7.9,22677,1861,64,1797
school_vax_view,Idaho,2021-22,2021,9.8,0.5,9.2,23854,2335,128,2206
school_vax_view,Idaho,2022-23,2022,12.1,0.5,11.5,23721,2859,126,2733
school_vax_view,Idaho,2023-24,2023,14.3,0.4,13.9,22376,3192,91,3101
school_vax_view,Idaho,2024-25,2024,15.4,0.3,15.1,22242,3427,64,3363
school_vax_view,Illinois,2019-20,2019,2.0,0.3,1.7,145891,2894,407,2487
school_vax_view,Illinois,2020-21,2020,,,,,,,
school_vax_view,Illinois,2021-22,2021,1.7,,,137699,2400,,
school_vax_view,Illinois,2022-23,2022,2.1,0.2,1.9,135332,2829,291,2538
school_vax_view,Illinois,2023-24,2023,2.5,0.3,2.3,133578,3405,364,3041
school_vax_view,Illinois,2024-25,2024,2.8,0.3,2.5,132769,3776,399,3377
school_vax_view,Indiana,2019-20,2019,2.2,0.2,1.9,88253,1901,199,1701
school_vax_view,Indiana,2020-21,2020,1.9,0.2,1.7,78694,1464,131,1333
school_vax_view,Indiana,2021-22,2021,2.4,0.2,2.2,83198,1980,141,1839
school_vax_view,Indiana,2022-23,2022,2.8,0.2,2.5,81307,2246,175,2071
school_vax_view,Indiana,2023-24,2023,2.4,0.1,2.4,80639,1974,75,1899
school_vax_view,Indiana,2024-25,2024,2.6,0.1,2.6,73744,1937,86,1904
school_vax_view,Iowa,2019-20,2019,2.5,0.2,2.3,40812,1004,68,936
school_vax_view,Iowa,2020-21,2020,2.2,0.2,2.1,39141,867,64,803
school_vax_view,Iowa,2021-22,2021,2.4,0.1,2.3,40111,962,49,913
school_vax_view,Iowa,2022-23,2022,3.0,0.2,2.8,39178,1173,68,1105
school_vax_view,Iowa,2023-24,2023,3.4,0.2,3.2,38611,1307,64,1243
school_vax_view,Iowa,2024-25,2024,3.9,0.2,3.8,38268,1499,62,1437
school_vax_view,Kansas,2019-20,2019,2.1,0.3,1.9,37865,805,99,705
school_vax_view,Kansas,2020-21,2020,2.0,0.2,1.8,34687,684,71,613
school_vax_view,Kansas,2021-22,2021,2.3,0.2,2.1,36526,830,80,750
school_vax_view,Kansas,2022-23,2022,2.9,0.3,2.6,35543,1041,116,926
school_vax_view,Kansas,2023-24,2023,3.0,0.3,2.7,34178,1024,87,937
school_vax_view,Kansas,2024-25,2024,3.6,0.3,3.3,33892,1219,104,1115
school_vax_view,Kentucky,2019-20,2019,1.8,0.5,1.4,59233,1082,274,809
school_vax_view,Kentucky,2020-21,2020,1.0,0.2,0.8,59233,569,92,478
school_vax_view,Kentucky,2021-22,2021,1.3,0.2,1.1,59233,774,95,679
school_vax_view,Kentucky,2022-23,2022,1.7,0.2,1.6,54742,958,95,863
school_vax_view,Kentucky,2023-24,2023,2.3,0.2,2.0,52609,1184,111,1073
school_vax_view,Kentucky,2024-25,2024,2.2,0.1,2.0,51319,1114,73,1041
school_vax_view,Louisiana,2019-20,2019,1.5,0.2,1.3,59685,884,92,792
school_vax_view,Louisiana,2020-21,2020,1.1,0.1,1.0,61912,664,48,616
school_vax_view,Louisiana,2021-22,2021,1.1,0.0,1.1,66518,753,29,724
school_vax_view,Louisiana,2022-23,2022,2.3,0.1,2.1,54314,1227,72,1155
school_vax_view,Louisiana,2023-24,2023,2.8,0.1,2.7,51839,1462,56,1406
school_vax_view,Louisiana,2024-25,2024,3.1,0.1,3.0,49229,1519,61,1458
school_vax_view,Maine,2019-20,2019,5.9,0.3,5.6,13450,795,40,755
school_vax_view,Maine,2020-21,2020,4.5,0.5,4.1,13477,612,64,548
school_vax_view,Maine,2021-22,2021,1.8,1.5,0.3,12881,232,199,33
school_vax_view,Maine,2022-23,2022,0.9,0.8,0.1,12403,113,98,15
school_vax_view,Maine,2023-24,2023,1.0,0.9,0.1,12087,119,112,7
school_vax_view,Maine,2024-25,2024,0.8,0.8,,11761,97,97,
school_vax_view,Maryland,2019-20,2019,1.4,0.4,1.0,72443,991,273,718
school_vax_view,Maryland,2020-21,2020,0.9,0.2,0.8,65764,610,109,501
school_vax_view,Maryland,2021-22,2021,1.5,0.5,1.0,53866,801,258,543
school_vax_view,Maryland,2022-23,2022,1.9,0.5,1.4,59684,1143,307,836
school_vax_view,Maryland,2023-24,2023,2.2,0.7,1.5,63224,1393,451,942
school_vax_view,Maryland,2024-25,2024,2.2,0.5,1.7,66135,1472,346,1126
school_vax_view,Massachusetts,2019-20,2019,1.3,0.2,1.1,66756,890,153,737
school_vax_view,Massachusetts,2020-21,2020,1.1,0.2,0.9,60724,693,127,566
school_vax_view,Massachusetts,2021-22,2021,1.0,0.2,0.9,65582,688,116,572
school_vax_view,Massachusetts,2022-23,2022,1.4,0.2,1.2,66041,925,112,813
school_vax_view,Massachusetts,2023-24,2023,1.4,0.2,1.2,65424,939,126,813
school_vax_view,Massachusetts,2024-25,2024,1.5,0.1,1.3,65581,968,98,870
school_vax_view,Michigan,2019-20,2019,4.4,0.2,4.2,120565,5320,290,5030
school_vax_view,Michigan,2020-21,2020,3.7,0.2,3.5,106657,3946,217,3729
school_vax_view,Michigan,2021-22,2021,4.5,0.2,4.3,114251,5191,266,4925
school_vax_view,Michigan,2022-23,2022,5.4,0.2,5.2,113678,6180,227,5953
school_vax_view,Michigan,2023-24,2023,5.6,0.2,5.4,110156,6138,216,5922
school_vax_view,Michigan,2024-25,2024,6.8,0.3,6.5,107636,7306,277,7029
school_vax_view,Minnesota,2019-20,2019,3.8,0.2,3.4,71223,2699,133,2565
school_vax_view,Minnesota,2020-21,2020,2.8,0.1,2.7,66007,1879,82,1797
school_vax_view,Minnesota,2021-22,2021,3.7,0.1,3.6,69403,2598,93,2504
school_vax_view,Minnesota,2022-23,2022,4.5,0.1,4.3,68152,3048,100,2948
school_vax_view,Minnesota,2023-24,2023,5.4,0.2,5.2,66032,3567,110,3456
school_vax_view,Minnesota,2024-25,2024,5.9,0.2,5.8,64898,3852,117,3735
school_vax_view,Mississippi,2019-20,2019,0.2,0.2,,37870,62,62,
school_vax_view,Mississippi,2020-21,2020,0.1,0.1,,34028,39,39,
school_vax_view,Mississippi,2021-22,2021,0.1,0.1,,36524,52,52,
school_vax_view,Mississippi,2022-23,2022,0.2,0.2,,36048,71,71,
school_vax_view,Mississippi,2023-24,2023,0.7,0.1,0.5,36105,238,52,186
school_vax_view,Mississippi,2024-25,2024,1.2,0.1,1.1,35293,441,47,394
school_vax_view,Missouri,2019-20,2019,2.7,0.2,2.5,72324,1970,150,1820
school_vax_view,Missouri,2020-21,2020,2.5,0.2,2.4,63093,1585,102,1492
school_vax_view,Missouri,2021-22,2021,3.0,0.2,2.8,71034,2137,140,1997
school_vax_view,Missouri,2022-23,2022,3.8,0.2,3.6,69126,2656,133,2523
school_vax_view,Missouri,2023-24,2023,4.7,0.2,4.5,69014,3245,151,3094
school_vax_view,Missouri,2024-25,2024,5.2,0.2,5.0,68163,3551,154,3397
school_vax_view,Montana,2019-20,2019,4.3,0.2,4.0,12501,535,30,505
school_vax_view,Montana,2020-21,2020,3.5,0.2,3.3,11279,400,24,376
school_vax_view,Nebraska,2019-20,2019,2.2,0.4,1.8,26893,591,106,485
school_vax_view,Nebraska,2020-21,2020,2.2,0.6,1.6,25681,555,143,413
school_vax_view,Nebraska,2021-22,2021,2.5,0.3,2.2,25018,628,85,543
school_vax_view,Nebraska,2022-23,2022,2.6,0.5,2.1,23176,601,123,478
school_vax_view,Nebraska,2023-24,2023,3.5,0.7,2.8,23118,813,155,658
school_vax_view,Nebraska,2024-25,2024,4.0,0.5,3.5,24102,966,122,844
school_vax_view,Nevada,2019-20,2019,4.0,0.5,3.5,37724,1492,170,1322
school_vax_view,Nevada,2020-21,2020,4.4,0.8,3.6,34171,1511,278,1232
school_vax_view,Nevada,2021-22,2021,4.8,0.4,4.4,36855,1779,164,1615
school_vax_view,Nevada,2022-23,2022,5.6,0.4,5.2,34333,1912,136,1776
school_vax_view,Nevada,2023-24,2023,7.1,0.9,6.2,31261,2213,271,1942
school_vax_view,Nevada,2024-25,2024,7.1,0.5,6.7,33272,2376,153,2222
school_vax_view,New Hampshire,2019-20,2019,3.1,0.2,2.9,12447,389,29,360
school_vax_view,New Hampshire,2020-21,2020,2.8,0.2,2.6,10242,287,25,263
school_vax_view,New Hampshire,2021-22,2021,3.4,0.2,3.2,12157,419,29,390
school_vax_view,New Hampshire,2022-23,2022,3.4,0.1,3.2,11332,382,15,367
school_vax_view,New Hampshire,2023-24,2023,4.1,0.3,3.9,11871,492,34,458
school_vax_view,New Hampshire,2024-25,2024,4.1,0.2,3.9,11713,481,24,457
school_vax_view,New Jersey,2019-20,2019,2.6,0.2,2.4,107900,2776,188,2588
school_vax_view,New Jersey,2020-21,2020,2.2,0.1,2.1,100144,2248,135,2113
school_vax_view,New Jersey,2021-22,2021,2.6,0.1,2.5,104240,2730,146,2584
school_vax_view,New Jersey,2022-23,2022,3.2,0.1,3.0,104468,3314,133,3181
school_vax_view,New Jersey,2023-24,2023,3.9,0.1,3.7,105408,4071,142,3929
school_vax_view,New Jersey,2024-25,2024,4.7,0.1,4.6,104339,4930,140,4790
school_vax_view,New Mexico,2019-20,2019,1.5,0.2,1.3,23087,344,46,298
school_vax_view,New Mexico,2020-21,2020,0.9,0.1,0.8,20589,189,23,166
school_vax_view,New Mexico,2021-22,2021,1.4,0.3,1.1,20736,280,58,222
school_vax_view,New Mexico,2022-23,2022,1.5,0.1,1.4,21068,319,28,291
school_vax_view,New Mexico,2023-24,2023,1.6,0.1,1.4,20699,329,29,300
school_vax_view,New Mexico,2024-25,2024,2.0,0.1,1.9,20180,401,19,382
school_vax_view,New York,2019-20,2019,0.1,0.1,,234165,320,320,
school_vax_view,New York,2020-21,2020,0.1,0.1,,216804,264,264,
school_vax_view,New York,2021-22,2021,0.1,0.1,,195377,241,241,
school_vax_view,New York,2022-23,2022,0.1,0.1,,205906,247,247,
school_vax_view,New York,2023-24,2023,0.1,0.1,,200894,255,255,
school_vax_view,New York,2024-25,2024,0.3,0.3,,234054,632,632,
school_vax_view,North Carolina,2019-20,2019,1.7,0.1,1.6,124548,2161,158,2003
school_vax_view,North Carolina,2020-21,2020,1.5,0.1,1.4,120995,1826,127,1700
school_vax_view,North Carolina,2021-22,2021,1.9,0.1,1.8,118191,2210,99,2111
school_vax_view,North Carolina,2022-23,2022,2.4,0.1,2.3,125679,3011,153,2859
school_vax_view,North Carolina,2023-24,2023,2.9,0.1,2.8,125964,3636,170,3466
school_vax_view,North Carolina,2024-25,2024,3.2,0.1,3.1,124028,3948,145,3803
school_vax_view,North Dakota,2019-20,2019,3.9,0.3,3.6,10587,413,32,381
school_vax_view,North Dakota,2020-21,2020,4.2,0.2,4.0,10116,423,21,401
school_vax_view,North Dakota,2021-22,2021,5.3,0.3,5.1,10755,573,27,546
school_vax_view,North Dakota,2022-23,2022,5.1,0.2,4.9,10554,542,22,520
school_vax_view,North Dakota,2023-24,2023,6.5,0.2,6.3,9708,630,20,611
school_vax_view,North Dakota,2024-25,2024,7.0,0.2,6.7,9659,672,23,649
school_vax_view,Ohio,2019-20,2019,2.8,0.2,2.6,139103,3921,346,3575
school_vax_view,Ohio,2020-21,2020,2.5,0.2,2.4,128535,3275,253,3022
school_vax_view,Ohio,2021-22,2021,3.0,0.2,2.8,139077,4212,279,3933
school_vax_view,Ohio,2022-23,2022,3.8,0.2,3.6,134893,5127,275,4852
school_vax_view,Ohio,2023-24,2023,4.2,0.2,4.0,133716,5642,266,5377
school_vax_view,Ohio,2024-25,2024,4.7,0.2,4.5,131589,6129,224,5905
school_vax_view,Oklahoma,2019-20,2019,2.7,0.1,2.5,55348,1468,73,1395
school_vax_view,Oklahoma,2020-21,2020,2.4,0.2,2.3,52656,1275,87,1188
school_vax_view,Oklahoma,2021-22,2021,3.5,0.2,3.3,54042,1865,86,1779
school_vax_view,Oklahoma,2022-23,2022,4.7,0.4,4.3,52548,2466,204,2261
school_vax_view,Oklahoma,2023-24,2023,5.7,0.2,5.5,49979,2867,99,2768
school_vax_view,Oklahoma,2024-25,2024,5.7,0.3,5.4,47544,2709,119,2589
school_vax_view,Oregon,2019-20,2019,7.1,0.2,6.9,45959,3265,73,3192
school_vax_view,Oregon,2020-21,2020,5.4,0.1,5.3,39568,2118,39,2079
school_vax_view,Oregon,2021-22,2021,7.0,0.1,6.9,41538,2895,43,2852
school_vax_view,Oregon,2022-23,2022,8.2,0.1,8.1,40963,3358,37,3321
school_vax_view,Oregon,2023-24,2023,8.9,0.1,8.8,39568,3532,46,3486
school_vax_view,Oregon,2024-25,2024,9.8,0.1,9.7,38247,3746,31,3715
school_vax_view,Pennsylvania,2019-20,2019,3.0,0.4,2.6,140197,4137,507,3630
school_vax_view,Pennsylvania,2020-21,2020,2.7,0.3,2.5,129307,3530,356,3174
school_vax_view,Pennsylvania,2021-22,2021,3.3,0.3,3.0,139558,4644,466,4178
school_vax_view,Pennsylvania,2022-23,2022,3.8,0.4,3.5,137259,5220,504,4716
school_vax_view,Pennsylvania,2023-24,2023,5.0,0.3,4.7,137593,6877,438,6439
school_vax_view,Pennsylvania,2024-25,2024,6.0,0.3,5.6,140160,8343,464,7878
school_vax_view,Rhode Island,2019-20,2019,1.3,0.2,1.0,11219,141,24,117
school_vax_view,Rhode Island,2020-21,2020,1.0,0.1,0.9,10402,108,10,99
school_vax_view,Rhode Island,2021-22,2021,1.2,0.1,1.1,11002,129,10,119
school_vax_view,Rhode Island,2022-23,2022,1.5,0.1,1.4,10532,154,11,143
school_vax_view,Rhode Island,2023-24,2023,1.7,0.1,1.5,10539,175,15,159
school_vax_view,Rhode Island,2024-25,2024,1.9,0.2,1.7,10088,192,20,172
school_vax_view,South Carolina,2019-20,2019,2.6,0.2,2.5,65938,1731,115,1616
school_vax_view,South Carolina,2020-21,2020,2.4,0.2,2.3,56330,1380,92,1288
school_vax_view,South Carolina,2021-22,2021,3.4,0.2,3.2,58276,1994,124,1870
school_vax_view,South Carolina,2022-23,2022,4.1,0.2,3.9,58878,2419,138,2281
school_vax_view,South Carolina,2023-24,2023,4.4,0.2,4.2,58069,2556,108,2448
school_vax_view,South Carolina,2024-25,2024,4.6,0.1,4.5,57718,2681,80,2601
school_vax_view,South Dakota,2019-20,2019,2.7,0.1,2.6,12367,337,18,319
school_vax_view,South Dakota,2020-21,2020,3.4,0.1,3.2,11512,389,16,373
school_vax_view,South Dakota,2021-22,2021,3.5,0.1,3.4,12251,434,18,416
school_vax_view,South Dakota,2022-23,2022,4.1,0.1,4.0,12081,499,11,488
school_vax_view,South Dakota,2023-24,2023,5.7,0.2,5.4,11744,664,27,637
school_vax_view,South Dakota,2024-25,2024,6.8,0.1,6.7,11367,768,7,761
school_vax_view,Tennessee,2019-20,2019,2.0,0.1,1.9,80595,1610,101,1509
school_vax_view,Tennessee,2020-21,2020,1.9,0.1,1.8,73819,1419,87,1332
school_vax_view,Tennessee,2021-22,2021,2.4,0.1,2.3,79120,1927,93,1834
school_vax_view,Tennessee,2022-23,2022,3.2,0.2,3.0,79692,2529,122,2407
school_vax_view,Tennessee,2023-24,2023,3.6,0.1,3.4,79323,2829,107,2722
school_vax_view,Tennessee,2024-25,2024,3.8,0.1,3.7,78299,2985,100,2884
school_vax_view,Texas,2019-20,2019,2.5,0.2,2.2,398680,9894,929,8965
school_vax_view,Texas,2020-21,2020,2.3,0.2,2.1,377840,8817,699,8118
school_vax_view,Texas,2021-22,2021,2.9,0.2,2.7,389037,11166,849,10316
school_vax_view,Texas,2022-23,2022,3.5,0.2,3.3,381680,13281,850,12431
school_vax_view,Texas,2023-24,2023,3.9,0.2,3.6,381421,14727,817,13910
school_vax_view,Texas,2024-25,2024,4.3,0.3,4.0,378860,16417,1210,15207
school_vax_view,United States,2019-20,2019,2.5,0.3,2.2,,,,
school_vax_view,United States,2020-21,2020,2.2,0.2,1.9,3520205,76888,8335,67809
school_vax_view,United States,2021-22,2021,2.6,0.2,2.3,3835130,98069,8230,88955
school_vax_view,United States,2022-23,2022,3.0,0.2,2.8,3832381,115575,8761,106466
school_vax_view,United States,2023-24,2023,3.3,0.2,3.1,3823506,127591,8154,118409
school_vax_view,United States,2024-25,2024,3.6,0.2,3.4,3785644,137938,8293,128894
school_vax_view,Utah,2019-20,2019,5.4,0.1,5.2,49208,2639,59,2580
school_vax_view,Utah,2020-21,2020,5.1,0.1,5.0,46247,2366,58,2308
school_vax_view,Utah,2021-22,2021,7.4,0.3,7.1,48995,3606,129,3477
school_vax_view,Utah,2022-23,2022,8.1,0.1,8.0,46635,3786,57,3729
school_vax_view,Utah,2023-24,2023,9.3,0.2,9.1,46228,4311,93,4218
school_vax_view,Utah,2024-25,2024,10.3,0.3,10.0,45818,4729,138,4591
school_vax_view,Vermont,2019-20,2019,3.7,0.1,3.5,6293,232,9,223
school_vax_view,Vermont,2020-21,2020,3.2,0.1,3.1,5535,176,6,170
school_vax_view,Vermont,2021-22,2021,3.3,0.1,3.2,6126,202,6,196
school_vax_view,Vermont,2022-23,2022,3.6,0.2,3.3,5816,208,14,194
school_vax_view,Vermont,2023-24,2023,4.0,0.2,3.8,5630,227,11,216
school_vax_view,Vermont,2024-25,2024,3.9,0.2,3.7,5432,212,11,201
school_vax_view,Virginia,2019-20,2019,1.7,0.3,1.4,99399,1711,333,1378
school_vax_view,Virginia,2020-21,2020,1.5,0.2,1.2,88273,1288,214,1074
school_vax_view,Virginia,2021-22,2021,1.8,0.3,1.5,95996,1638,263,1375
school_vax_view,Virginia,2022-23,2022,2.2,0.3,1.9,93271,2055,283,1772
school_vax_view,Virginia,2023-24,2023,2.4,0.3,2.1,92633,2204,273,1930
school_vax_view,Virginia,2024-25,2024,2.7,0.3,2.4,91453,2433,301,2131
school_vax_view,Washington,2019-20,2019,4.6,0.7,5.0,87757,,647,4359
school_vax_view,Washington,2020-21,2020,3.3,0.5,2.1,74931,2503,389,1563
school_vax_view,Washington,2021-22,2021,3.7,0.5,2.5,87256,3200,465,2215
school_vax_view,Washington,2022-23,2022,4.0,0.4,3.2,86284,3471,366,2757
school_vax_view,Washington,2023-24,2023,4.8,0.4,3.9,84053,4025,342,3276
school_vax_view,Washington,2024-25,2024,4.8,0.4,3.9,76756,3654,273,3006
school_vax_view,West Virginia,2019-20,2019,0.1,0.1,,17114,21,21,
school_vax_view,West Virginia,2020-21,2020,,,,,,,
school_vax_view,West Virginia,2021-22,2021,0.1,0.1,,18070,17,17,
school_vax_view,West Virginia,2022-23,2022,0.0,0.0,,19175,7,7,
school_vax_view,West Virginia,2023-24,2023,0.1,0.1,,18261,7,7,
school_vax_view,Wisconsin,2019-20,2019,5.7,0.2,5.5,67391,3861,168,3693
school_vax_view,Wisconsin,2020-21,2020,5.2,0.2,4.9,63486,3294,154,3141
school_vax_view,Wisconsin,2021-22,2021,6.3,0.3,6.0,64275,4071,198,3873
school_vax_view,Wisconsin,2022-23,2022,7.2,0.5,6.7,63593,4583,340,4244
school_vax_view,Wisconsin,2023-24,2023,7.7,0.4,6.2,62028,4788,239,3833
school_vax_view,Wisconsin,2024-25,2024,7.6,0.5,6.3,61120,4641,331,3881
school_vax_view,Wyoming,2019-20,2019,3.5,0.3,3.2,7913,280,24,256
school_vax_view,Wyoming,2020-21,2020,3.0,,,6923,205,,
school_vax_view,Wyoming,2021-22,2021,3.9,0.2,3.7,7382,289,15,274
school_vax_view,Wyoming,2022-23,2022,4.8,0.2,4.6,7060,339,16,323
school_vax_view,Wyoming,2023-24,2023,5.6,0.2,5.4,6754,378,14,364
school_vax_view,Wyoming,2024-25,2024,5.9,0.2,5.7,6564,386,15,371
